Provincias;Grupo penal;periodo;Total
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2023;36
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2022;27
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2021;30
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2020;18
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2019;16
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2018;8
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2017;12
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2016;6
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2015;1
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2014;4
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2013;2
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2012;1
Albacete;INTERFERENCIA EN LOS DATOS Y EN EL SISTEMA;2011;2
Albacete;TOTAL grupo penal;2024;3.492
Albacete;TOTAL grupo penal;2023;3.616
Albacete;TOTAL grupo penal;2022;3.308
Albacete;TOTAL grupo penal;2021;2.492
Albacete;TOTAL grupo penal;2020;2.339
Albacete;TOTAL grupo penal;2019;1.950
Albacete;TOTAL grupo penal;2018;1.412
Albacete;TOTAL grupo penal;2017;715
Albacete;TOTAL grupo penal;2016;511
Albacete;TOTAL grupo penal;2015;515
Albacete;TOTAL grupo penal;2014;433
Albacete;TOTAL grupo penal;2013;433
Albacete;TOTAL grupo penal;2012;342
Albacete;TOTAL grupo penal;2011;361
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2024;405
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2023;318
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2022;198
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2021;163
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2020;180
Alicante/Alacant;ACCESO  E INTERCEPTACIÓN ILÍCITA;2019;159
